HGNC_ID	STATUS	WITHDRAWN_SYMBOL	MERGED_INTO_REPORT(S) (i.e HGNC_ID
HGNC:1793	Withdrawn	CDL2	
HGNC:1794	Merged/Split	CDN1	HGNC:949
HGNC:1796	Merged/Split	CDPX1	HGNC:719
HGNC:1797	Merged/Split	CDPX2	HGNC:3133
HGNC:1803	Merged/Split	CDSP	HGNC:10969
HGNC:1807	Merged/Split	CDX3	HGNC:1806
HGNC:1812	Withdrawn	CDYP	
HGNC:1813	Merged/Split	CEA	HGNC:1817
HGNC:1832	Merged/Split	CEAL1	HGNC:31951
HGNC:1853	Merged/Split	CENPC	HGNC:1855
HGNC:1860	Withdrawn	CEPA	
HGNC:1861	Withdrawn	CEPO	
HGNC:1870	Merged/Split	CF	HGNC:1884
HGNC:1871	Merged/Split	CFAG	HGNC:10498, HGNC:10499
HGNC:1872	Merged/Split	CFD1	HGNC:3689
HGNC:1881	Withdrawn	CFM1	
HGNC:1882	Withdrawn	CFM2	
HGNC:1883	Merged/Split	CFNS	HGNC:3226
HGNC:1887	Withdrawn	CGF1	
HGNC:1889	Merged/Split	CGM1	HGNC:1815
HGNC:1890	Merged/Split	CGM10	HGNC:1825
HGNC:1891	Merged/Split	CGM11	HGNC:1826
HGNC:1892	Merged/Split	CGM12	HGNC:1827
HGNC:1893	Merged/Split	CGM13	HGNC:1828
HGNC:1894	Merged/Split	CGM14	HGNC:1829
HGNC:1895	Merged/Split	CGM15	HGNC:1830
HGNC:1896	Merged/Split	CGM16	HGNC:1831
HGNC:1897	Merged/Split	CGM17	HGNC:1822
HGNC:1898	Merged/Split	CGM18	HGNC:1823
HGNC:1899	Merged/Split	CGM2	HGNC:1819
HGNC:1900	Merged/Split	CGM6	HGNC:1820
HGNC:1901	Merged/Split	CGM7	HGNC:1816
HGNC:1902	Merged/Split	CGM8	HGNC:1821
HGNC:1903	Merged/Split	CGM9	HGNC:1824
HGNC:1905	Merged/Split	CGS23	HGNC:10864
HGNC:1906	Merged/Split	CGT	HGNC:12555
HGNC:1920	Merged/Split	CHDR	HGNC:387
HGNC:1921	Merged/Split	CHE1	HGNC:983
HGNC:1922	Merged/Split	CHE2	HGNC:983
HGNC:1923	Merged/Split	CHED1	HGNC:15804
HGNC:1924	Merged/Split	CHED2	HGNC:16438
HGNC:1926	Merged/Split	CHEL1	HGNC:984
HGNC:1927	Merged/Split	CHEL3	HGNC:985
HGNC:1931	Merged/Split	CHH	HGNC:10031
HGNC:1942	Merged/Split	CHN	HGNC:1943
HGNC:1945	Withdrawn	CHR	
HGNC:1946	Merged/Split	CHR39A	HGNC:3632
HGNC:1947	Merged/Split	CHR39B	HGNC:3635
HGNC:1948	Merged/Split	CHR39C	HGNC:3636
HGNC:1978	Merged/Split	CIDX	HGNC:6010
HGNC:1979	Merged/Split	CILD2	HGNC:30492
HGNC:1981	Withdrawn	CIPO	
HGNC:1988	Merged/Split	CJD	HGNC:9449
HGNC:1992	Withdrawn	CKBE	
HGNC:1997	Merged/Split	CKN1	HGNC:3439
HGNC:1998	Merged/Split	CKN2	HGNC:3438
HGNC:2002	Merged/Split	SCAR2	HGNC:18667
HGNC:2003	Merged/Split	SCAX1	HGNC:816
HGNC:2004	Withdrawn	CLA3	
HGNC:2005	Merged/Split	CLAPA1	HGNC:561
HGNC:2006	Merged/Split	CLAPA2	HGNC:562
HGNC:2007	Merged/Split	CLAPB1	HGNC:563
HGNC:2008	Merged/Split	CLAPB2	HGNC:554
HGNC:2009	Merged/Split	CLAPG1	HGNC:555
HGNC:2010	Merged/Split	CLAPM1	HGNC:564
HGNC:2011	Merged/Split	CLAPS1	HGNC:559
HGNC:2012	Merged/Split	CLAPS2	HGNC:565
HGNC:2028	Merged/Split	CLCNL1	HGNC:2062
HGNC:2029	Merged/Split	CLCNL2	HGNC:2063
HGNC:2030	Merged/Split	CLCS	HGNC:40
HGNC:2031	Merged/Split	CLD	HGNC:3018
HGNC:2043	Merged/Split	CLDN21	HGNC:37200
HGNC:2055	Merged/Split	CLG	HGNC:7155
HGNC:2056	Merged/Split	CLG1	HGNC:7175
HGNC:2057	Merged/Split	CLG4A	HGNC:7166
HGNC:2058	Merged/Split	CLG4B	HGNC:7176
HGNC:2059	Merged/Split	CLGI	HGNC:11820
HGNC:2061	Merged/Split	CLI	HGNC:2095
HGNC:2066	Merged/Split	CLIC1L	HGNC:2065
HGNC:2072	Merged/Split	CLM	HGNC:6486
HGNC:2075	Merged/Split	CLN4	HGNC:16235
