Gene stable ID	Transcript stable ID	Protein stable ID	HGNC ID	HGNC symbol
ENSG00000189184	ENST00000617302		HGNC:14268	PCDH18
ENSG00000282315	ENST00000632499		HGNC:48767	HNRNPA1P38
ENSG00000283571	ENST00000636589			
ENSG00000280411	ENST00000624687	ENSP00000485152	HGNC:49601	IGHV1-69D
ENSG00000138193	ENST00000371380	ENSP00000360431	HGNC:17175	PLCE1
ENSG00000138193	ENST00000692396	ENSP00000508605	HGNC:17175	PLCE1
ENSG00000138193	ENST00000675487	ENSP00000502340	HGNC:17175	PLCE1
ENSG00000138193	ENST00000689699		HGNC:17175	PLCE1
ENSG00000138193	ENST00000692286	ENSP00000509490	HGNC:17175	PLCE1
ENSG00000138193	ENST00000686954	ENSP00000508416	HGNC:17175	PLCE1
ENSG00000138193	ENST00000685253	ENSP00000509405	HGNC:17175	PLCE1
ENSG00000138193	ENST00000689233		HGNC:17175	PLCE1
ENSG00000138193	ENST00000675718	ENSP00000502763	HGNC:17175	PLCE1
ENSG00000138193	ENST00000676102	ENSP00000502811	HGNC:17175	PLCE1
ENSG00000138193	ENST00000371385	ENSP00000360438	HGNC:17175	PLCE1
ENSG00000138193	ENST00000675218	ENSP00000501910	HGNC:17175	PLCE1
ENSG00000138193	ENST00000371375	ENSP00000360426	HGNC:17175	PLCE1
ENSG00000138193	ENST00000688810	ENSP00000509140	HGNC:17175	PLCE1
ENSG00000138193	ENST00000689982		HGNC:17175	PLCE1
ENSG00000138193	ENST00000432707		HGNC:17175	PLCE1
ENSG00000138193	ENST00000674738	ENSP00000501802	HGNC:17175	PLCE1
ENSG00000138193	ENST00000674827	ENSP00000502523	HGNC:17175	PLCE1
ENSG00000138193	ENST00000685889		HGNC:17175	PLCE1
ENSG00000138193	ENST00000687948		HGNC:17175	PLCE1
ENSG00000138193	ENST00000690340		HGNC:17175	PLCE1
ENSG00000138193	ENST00000686807		HGNC:17175	PLCE1
ENSG00000138193	ENST00000685132		HGNC:17175	PLCE1
ENSG00000275575	ENST00000633518	ENSP00000487595	HGNC:9636	PTP4A3
ENSG00000275575	ENST00000633621	ENSP00000487610	HGNC:9636	PTP4A3
ENSG00000275575	ENST00000633262	ENSP00000487861	HGNC:9636	PTP4A3
ENSG00000275575	ENST00000633366		HGNC:9636	PTP4A3
ENSG00000275575	ENST00000634147		HGNC:9636	PTP4A3
ENSG00000275575	ENST00000632997		HGNC:9636	PTP4A3
ENSG00000275575	ENST00000633470		HGNC:9636	PTP4A3
ENSG00000275575	ENST00000632834		HGNC:9636	PTP4A3
ENSG00000275575	ENST00000633677		HGNC:9636	PTP4A3
ENSG00000275575	ENST00000614325	ENSP00000481205	HGNC:9636	PTP4A3
ENSG00000275575	ENST00000622569	ENSP00000484500	HGNC:9636	PTP4A3
ENSG00000274576	ENST00000617374	ENSP00000485200	HGNC:5577	IGHV2-70
ENSG00000254056	ENST00000523324		HGNC:5621	IGHV3-71
ENSG00000225698	ENST00000433072	ENSP00000416201	HGNC:5622	IGHV3-72
ENSG00000233795	ENST00000481680		HGNC:13182	POLR1H
ENSG00000233795	ENST00000417275	ENSP00000397636	HGNC:13182	POLR1H
ENSG00000233795	ENST00000444794	ENSP00000407364	HGNC:13182	POLR1H
ENSG00000233795	ENST00000442585	ENSP00000394779	HGNC:13182	POLR1H
ENSG00000233795	ENST00000412396	ENSP00000396922	HGNC:13182	POLR1H
ENSG00000233795	ENST00000484119		HGNC:13182	POLR1H
ENSG00000211976	ENST00000390636	ENSP00000375045	HGNC:5623	IGHV3-73
ENSG00000285230	ENST00000663279		HGNC:50743	RALY-AS1
ENSG00000285230	ENST00000645622		HGNC:50743	RALY-AS1
ENSG00000285230	ENST00000432859		HGNC:50743	RALY-AS1
ENSG00000285230	ENST00000618285		HGNC:50743	RALY-AS1
ENSG00000285230	ENST00000669769		HGNC:50743	RALY-AS1
ENSG00000285230	ENST00000668968		HGNC:50743	RALY-AS1
ENSG00000285230	ENST00000440595		HGNC:50743	RALY-AS1
ENSG00000285230	ENST00000419662		HGNC:50743	RALY-AS1
ENSG00000224650	ENST00000424969	ENSP00000394447	HGNC:5624	IGHV3-74
ENSG00000254134	ENST00000517572		HGNC:5690	IGHVII-74-1
ENSG00000254176	ENST00000523951		HGNC:5625	IGHV3-75
ENSG00000253247	ENST00000522465		HGNC:5626	IGHV3-76
ENSG00000253310	ENST00000523776		HGNC:5708	IGHVIII-76-1
ENSG00000265929	ENST00000583555		HGNC:43526	MIR5195
ENSG00000211978	ENST00000450948		HGNC:5660	IGHV5-78
ENSG00000253674	ENST00000521105		HGNC:5691	IGHVII-78-1
ENSG00000275747	ENST00000618968		HGNC:5627	IGHV3-79
ENSG00000283906	ENST00000640749		HGNC:5656	IGHV4-80
ENSG00000211979	ENST00000390639	ENSP00000375048	HGNC:5669	IGHV7-81
ENSG00000131061	ENST00000342427	ENSP00000344308	HGNC:15992	ZNF341
ENSG00000131061	ENST00000698694	ENSP00000513875	HGNC:15992	ZNF341
ENSG00000131061	ENST00000375200	ENSP00000364346	HGNC:15992	ZNF341
ENSG00000131061	ENST00000497876	ENSP00000434423	HGNC:15992	ZNF341
ENSG00000131061	ENST00000483118	ENSP00000432933	HGNC:15992	ZNF341
ENSG00000131061	ENST00000698695	ENSP00000513876	HGNC:15992	ZNF341
ENSG00000131061	ENST00000493497		HGNC:15992	ZNF341
ENSG00000231226	ENST00000440874		HGNC:39761	TRIM31-AS1
ENSG00000252228	ENST00000516419			
ENSG00000204614	ENST00000489892		HGNC:18736	TRIM40
