Gene stable ID	RefSeq ncRNA ID
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292357	
ENSG00000292358	
ENSG00000292358	
ENSG00000292359	
ENSG00000292360	
ENSG00000292360	
ENSG00000292360	
ENSG00000292360	
ENSG00000292360	
ENSG00000292360	
ENSG00000292360	
ENSG00000292360	
ENSG00000292360	
ENSG00000292361	
ENSG00000292362	
ENSG00000292362	
ENSG00000292362	NR_033381
ENSG00000292362	
ENSG00000292362	
ENSG00000292362	
ENSG00000292362	
ENSG00000292362	NR_033380
ENSG00000292362	
ENSG00000292363	
ENSG00000292363	NR_110830
ENSG00000292363	
ENSG00000292364	
ENSG00000292365	
ENSG00000292366	NR_033714
ENSG00000292366	NR_033715
ENSG00000292366	
ENSG00000292366	
ENSG00000292366	
ENSG00000292366	
ENSG00000292366	
ENSG00000292367	
ENSG00000292368	
ENSG00000292369	
ENSG00000292370	NR_138048
ENSG00000292371	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292372	
ENSG00000292373	
ENSG00000292373	
ENSG00000292373	
ENSG00000292373	
ENSG00000215601	
ENSG00000215603	
ENSG00000225878	
ENSG00000236435	
ENSG00000258991	
ENSG00000237048	NR_174112
ENSG00000237048	NR_001551
ENSG00000237048	
ENSG00000237048	
ENSG00000224518	
ENSG00000231988	
ENSG00000238073	
ENSG00000275866	
ENSG00000131538	NR_001527
ENSG00000271595	
ENSG00000183704	
ENSG00000232927	
ENSG00000277438	
ENSG00000286217	
ENSG00000286217	
ENSG00000286217	
ENSG00000286217	
ENSG00000286217	
ENSG00000286217	
ENSG00000286217	NR_138045
ENSG00000286217	
ENSG00000259154	
ENSG00000169789	
ENSG00000169789	
ENSG00000273589	
ENSG00000273863	
ENSG00000228571	
ENSG00000271375	
ENSG00000224634	
ENSG00000288260	
ENSG00000285470	
ENSG00000288430	
ENSG00000226092	
ENSG00000234620	
ENSG00000236690	
ENSG00000273693	
ENSG00000114374	
ENSG00000114374	NR_001545
ENSG00000114374	NR_174087
ENSG00000114374	NR_174088
ENSG00000114374	NR_174085
ENSG00000114374	NR_174086
ENSG00000288297	NR_121659
ENSG00000288274	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000114374	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000114374	
ENSG00000288243	
ENSG00000288243	
ENSG00000114374	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000114374	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288243	
ENSG00000288388	
ENSG00000114374	
ENSG00000288138	
ENSG00000114374	
ENSG00000114374	
ENSG00000169807	
ENSG00000169807	
ENSG00000223422	
ENSG00000231159	
ENSG00000225653	
ENSG00000251618	
ENSG00000229159	
ENSG00000228578	
ENSG00000275280	
ENSG00000270242	
ENSG00000236477	
ENSG00000237997	
ENSG00000244246	
ENSG00000198692	
ENSG00000198692	
ENSG00000198692	
ENSG00000198692	
ENSG00000198692	
ENSG00000183753	
ENSG00000183753	
ENSG00000183753	
ENSG00000183753	
ENSG00000225433	
ENSG00000227166	
ENSG00000235857	
ENSG00000223955	
ENSG00000270455	
ENSG00000229940	
ENSG00000234385	
ENSG00000226863	
ENSG00000237968	
ENSG00000233699	
ENSG00000286009	
