Gene stable ID	MGI ID
ENSMUSG00000101201	MGI:5578831
ENSMUSG00000101003	MGI:5579162
ENSMUSG00000100438	MGI:5433989
ENSMUSG00000100640	MGI:5579779
ENSMUSG00000100628	MGI:5580354
ENSMUSG00000100989	MGI:5580353
ENSMUSG00000100268	MGI:5580174
ENSMUSG00000100003	MGI:5580352
ENSMUSG00000101343	MGI:5580175
ENSMUSG00000101907	MGI:5580178
ENSMUSG00000099462	MGI:5579255
ENSMUSG00000100035	MGI:5580179
ENSMUSG00000101434	MGI:5579917
ENSMUSG00000101072	MGI:5580176
ENSMUSG00000100061	MGI:5579918
ENSMUSG00000100994	MGI:5434688
ENSMUSG00000100611	MGI:5434602
ENSMUSG00000100861	MGI:5580088
ENSMUSG00000100317	MGI:5578930
ENSMUSG00000101138	MGI:5579916
ENSMUSG00000101329	MGI:5578932
ENSMUSG00000100871	MGI:5579919
ENSMUSG00000100532	MGI:5578931
ENSMUSG00000100716	MGI:5579256
ENSMUSG00000099374	MGI:5434699
ENSMUSG00000100325	MGI:5579310
ENSMUSG00000100882	MGI:5434205
ENSMUSG00000100048	MGI:5579309
ENSMUSG00000101772	MGI:5579535
ENSMUSG00000099667	MGI:5434065
ENSMUSG00000099789	MGI:5579271
ENSMUSG00000099593	MGI:5579272
ENSMUSG00000101109	MGI:5579403
ENSMUSG00000101582	MGI:5579534
ENSMUSG00000101541	MGI:5579260
ENSMUSG00000101273	MGI:5579537
ENSMUSG00000101508	MGI:5579538
ENSMUSG00000100339	MGI:5434028
ENSMUSG00000099546	MGI:5433966
ENSMUSG00000101884	MGI:5579364
ENSMUSG00000100906	MGI:5579944
ENSMUSG00000100852	MGI:5579762
ENSMUSG00000100092	MGI:5434443
ENSMUSG00000100284	MGI:5579945
ENSMUSG00000099532	MGI:5579804
ENSMUSG00002075613	MGI:6845166
ENSMUSG00000118466	MGI:5434525
ENSMUSG00000100986	MGI:5433905
ENSMUSG00000102054	MGI:5580079
ENSMUSG00000101718	MGI:5434218
ENSMUSG00002076259	MGI:6845168
ENSMUSG00000101131	MGI:5580076
ENSMUSG00000099736	MGI:5434219
ENSMUSG00000099339	MGI:5433915
ENSMUSG00000101657	MGI:5434220
ENSMUSG00000100740	MGI:5580182
ENSMUSG00000099674	MGI:5579872
ENSMUSG00000100718	MGI:5433881
ENSMUSG00000101069	MGI:5578900
ENSMUSG00000100023	MGI:5579459
ENSMUSG00000099915	MGI:5434546
ENSMUSG00000100086	MGI:5434626
ENSMUSG00000100531	MGI:5579181
ENSMUSG00000099483	MGI:5579182
ENSMUSG00000101310	MGI:5434636
ENSMUSG00000101742	MGI:5434735
ENSMUSG00000100646	MGI:5578899
ENSMUSG00000100024	MGI:5433946
ENSMUSG00000099409	MGI:5579457
ENSMUSG00000099522	MGI:5579458
ENSMUSG00000100938	MGI:5579432
ENSMUSG00000101821	MGI:5434663
ENSMUSG00000101950	MGI:5579973
ENSMUSG00000099441	MGI:5579974
ENSMUSG00000102079	MGI:5434043
ENSMUSG00000100411	MGI:5579975
ENSMUSG00000100449	MGI:5579463
ENSMUSG00000100970	MGI:5579976
ENSMUSG00000101990	MGI:5434212
ENSMUSG00000099642	MGI:5579054
ENSMUSG00000101354	MGI:5579679
ENSMUSG00000101204	MGI:5579977
ENSMUSG00000101835	MGI:5433898
ENSMUSG00000102127	MGI:5579678
ENSMUSG00000099362	MGI:5579676
ENSMUSG00000099921	MGI:5579677
ENSMUSG00002076147	MGI:6845170
ENSMUSG00000100581	MGI:5433949
ENSMUSG00000095650	MGI:5434210
ENSMUSG00000099477	MGI:5579055
ENSMUSG00000102092	MGI:5434056
ENSMUSG00000101989	MGI:5579052
ENSMUSG00000100288	MGI:5579051
ENSMUSG00000099341	MGI:5579796
ENSMUSG00000101282	MGI:5578858
ENSMUSG00002075299	MGI:6845172
ENSMUSG00000101221	MGI:5434045
ENSMUSG00000099992	MGI:5434790
ENSMUSG00000101346	MGI:5580211
ENSMUSG00000101230	MGI:5434026
ENSMUSG00000102061	MGI:5579529
ENSMUSG00000100541	MGI:5579577
ENSMUSG00000101961	MGI:5578926
ENSMUSG00000099367	MGI:5580218
ENSMUSG00000099666	MGI:5580217
ENSMUSG00000100240	MGI:5434176
ENSMUSG00000100331	MGI:5434236
ENSMUSG00000101347	MGI:5578925
ENSMUSG00000100390	MGI:5434237
ENSMUSG00000099824	MGI:5578924
ENSMUSG00000101263	MGI:5579827
ENSMUSG00002076549	MGI:6845174
ENSMUSG00000099986	MGI:5579826
ENSMUSG00000100116	MGI:5434217
ENSMUSG00000100118	MGI:5579823
ENSMUSG00000099524	MGI:5434216
ENSMUSG00000100854	MGI:5578763
ENSMUSG00000101092	MGI:5433960
ENSMUSG00000100817	MGI:5580008
ENSMUSG00000102122	MGI:5434239
ENSMUSG00000099513	MGI:5579825
ENSMUSG00000101552	MGI:5579824
ENSMUSG00000102110	MGI:5579146
ENSMUSG00000100973	MGI:5580005
