Gene stable ID	Transcript stable ID	Protein stable ID
ENSMUSG00000101341	ENSMUST00000187689	
ENSMUSG00000100193	ENSMUST00000188875	
ENSMUSG00000099651	ENSMUST00000190611	
ENSMUSG00000101787	ENSMUST00000189591	
ENSMUSG00000101043	ENSMUST00000185717	
ENSMUSG00000100535	ENSMUST00000189315	ENSMUSP00000139722
ENSMUSG00000099390	ENSMUST00000188647	
ENSMUSG00000099390	ENSMUST00000188510	
ENSMUSG00000099390	ENSMUST00000191180	
ENSMUSG00000099738	ENSMUST00000189519	
ENSMUSG00000100422	ENSMUST00000186871	
ENSMUSG00000101988	ENSMUST00000190606	
ENSMUSG00000100385	ENSMUST00000187139	
ENSMUSG00000101336	ENSMUST00000186383	
ENSMUSG00000101593	ENSMUST00000187463	
ENSMUSG00000099733	ENSMUST00000187275	
ENSMUSG00000101626	ENSMUST00000191185	
ENSMUSG00000101626	ENSMUST00000188128	
ENSMUSG00000101626	ENSMUST00000186775	
ENSMUSG00000101091	ENSMUST00000190852	
ENSMUSG00000100229	ENSMUST00000186520	
ENSMUSG00000101691	ENSMUST00000188571	
ENSMUSG00000100540	ENSMUST00000185833	
ENSMUSG00000100244	ENSMUST00000190324	
ENSMUSG00000100694	ENSMUST00000191008	
ENSMUSG00000100694	ENSMUST00000187534	
ENSMUSG00000099799	ENSMUST00000187337	
ENSMUSG00000099799	ENSMUST00000188438	
ENSMUSG00000099799	ENSMUST00000190622	
ENSMUSG00000099999	ENSMUST00000187263	
ENSMUSG00000101844	ENSMUST00000186101	
ENSMUSG00000101806	ENSMUST00000186417	
ENSMUSG00000101632	ENSMUST00000190657	
ENSMUSG00000099525	ENSMUST00000191488	
ENSMUSG00000100749	ENSMUST00000191050	
ENSMUSG00000099963	ENSMUST00000191085	
ENSMUSG00000099963	ENSMUST00000185506	
ENSMUSG00000099963	ENSMUST00000185420	
ENSMUSG00000101857	ENSMUST00000191075	
ENSMUSG00000101836	ENSMUST00000190413	
ENSMUSG00000102008	ENSMUST00000188452	
ENSMUSG00000100869	ENSMUST00000188700	
ENSMUSG00000101277	ENSMUST00000186066	
ENSMUSG00000099371	ENSMUST00000190836	
ENSMUSG00000100359	ENSMUST00000187962	
ENSMUSG00000099495	ENSMUST00000185634	
ENSMUSG00000101747	ENSMUST00000186201	
